"AccessionID","Location"
"EPI_ISL_738086","WP Kuala Lumpur"
"EPI_ISL_1055037","Selangor"
"EPI_ISL_1055261","Selangor"
"EPI_ISL_1055262","Selangor"
"EPI_ISL_1055263","Selangor"
"EPI_ISL_1055264","Selangor"
"EPI_ISL_1055361","Selangor"
"EPI_ISL_1055362","Selangor"
"EPI_ISL_1055363","Selangor"
"EPI_ISL_1055364","Selangor"
"EPI_ISL_1055365","Selangor"
"EPI_ISL_1068849","Selangor"
"EPI_ISL_1068850","Selangor"
"EPI_ISL_1068851","Selangor"
"EPI_ISL_1068927","Selangor"
"EPI_ISL_1068928","Selangor"
"EPI_ISL_1068929","Selangor"
"EPI_ISL_1068996","WP Kuala Lumpur"
"EPI_ISL_1068997","WP Kuala Lumpur"
"EPI_ISL_1068998","WP Kuala Lumpur"
"EPI_ISL_1068999","WP Kuala Lumpur"
"EPI_ISL_1069076","WP Kuala Lumpur"
"EPI_ISL_1069078","WP Kuala Lumpur"
"EPI_ISL_1081327","Selangor"
"EPI_ISL_1081333","Selangor"
"EPI_ISL_1081350","Selangor"
"EPI_ISL_1081351","Selangor"
"EPI_ISL_1081352","Selangor"
"EPI_ISL_1114717","Selangor"
"EPI_ISL_1114718","Selangor"
"EPI_ISL_1114719","Selangor"
"EPI_ISL_1114720","Selangor"
"EPI_ISL_1114721","Selangor"
"EPI_ISL_1114722","Selangor"
"EPI_ISL_1114723","Selangor"
"EPI_ISL_1114724","Selangor"
"EPI_ISL_1114726","Selangor"
"EPI_ISL_1114734","Selangor"
"EPI_ISL_1114744","Selangor"
"EPI_ISL_1114765","Selangor"
"EPI_ISL_1138598","Selangor"
"EPI_ISL_1138750","Selangor"
"EPI_ISL_1186028","Selangor"
"EPI_ISL_1186114","Sabah"
"EPI_ISL_1196660","Melaka"
"EPI_ISL_1196705","Melaka"
"EPI_ISL_1196706","Melaka"
"EPI_ISL_1196768","Melaka"
"EPI_ISL_1196770","Melaka"
"EPI_ISL_1196771","Melaka"
"EPI_ISL_1196794","Pulau Pinang"
"EPI_ISL_1196796","Pulau Pinang"
"EPI_ISL_1196797","Pulau Pinang"
"EPI_ISL_1196864","Melaka"
"EPI_ISL_1196866","Selangor"
"EPI_ISL_1196867","Selangor"
"EPI_ISL_1196930","Selangor"
"EPI_ISL_1204503","Selangor"
"EPI_ISL_1263458","Selangor"
"EPI_ISL_1263460","Selangor"
"EPI_ISL_1263540","Selangor"
"EPI_ISL_1264762","Selangor"
"EPI_ISL_1265161","Selangor"
"EPI_ISL_1405917","Sabah"
"EPI_ISL_1405966","Selangor"
"EPI_ISL_1406078","Selangor"
"EPI_ISL_1406146","Selangor"
"EPI_ISL_1406148","Selangor"
"EPI_ISL_1406153","Selangor"
"EPI_ISL_1406178","Selangor"
"EPI_ISL_1406185","Selangor"
"EPI_ISL_1406187","Selangor"
"EPI_ISL_1406192","Selangor"
"EPI_ISL_1406194","Selangor"
"EPI_ISL_1406197","Selangor"
"EPI_ISL_1406199","Selangor"
"EPI_ISL_1406201","Selangor"
"EPI_ISL_1406204","Selangor"
"EPI_ISL_1406242","Selangor"
"EPI_ISL_1406244","Selangor"
"EPI_ISL_1406247","Selangor"
"EPI_ISL_1406250","Selangor"
"EPI_ISL_1406274","Selangor"
"EPI_ISL_1406277","Selangor"
"EPI_ISL_1406281","Selangor"
"EPI_ISL_1406286","Selangor"
"EPI_ISL_1406292","Selangor"
"EPI_ISL_1406294","Selangor"
"EPI_ISL_1424064","Selangor"
"EPI_ISL_1424065","Selangor"
"EPI_ISL_1424130","Selangor"
"EPI_ISL_1424143","Selangor"
"EPI_ISL_1424466","Selangor"
"EPI_ISL_1424467","Selangor"
"EPI_ISL_1424468","Selangor"
"EPI_ISL_1424470","Selangor"
"EPI_ISL_1424471","Selangor"
"EPI_ISL_1424510","Selangor"
"EPI_ISL_1424513","Selangor"
"EPI_ISL_1424518","Selangor"
"EPI_ISL_1583006","Selangor"
"EPI_ISL_1583007","Selangor"
"EPI_ISL_1585242","Selangor"
"EPI_ISL_1585270","WP Labuan"
"EPI_ISL_1585271","WP Labuan"
"EPI_ISL_430439","Selangor"
"EPI_ISL_430440","Selangor"
"EPI_ISL_430441","Selangor"
"EPI_ISL_430442","Selangor"
"EPI_ISL_430443","Selangor"
"EPI_ISL_430444","Selangor"
"EPI_ISL_459953","WP Kuala Lumpur"
"EPI_ISL_459954","WP Kuala Lumpur"
"EPI_ISL_459955","Selangor"
"EPI_ISL_459956","Selangor"
"EPI_ISL_459957","Selangor"
"EPI_ISL_489992","Selangor"
"EPI_ISL_489993","Selangor"
"EPI_ISL_489994","Selangor"
"EPI_ISL_490014","Selangor"
"EPI_ISL_490015","Selangor"
"EPI_ISL_490016","Selangor"
"EPI_ISL_490047","Selangor"
"EPI_ISL_490048","Selangor"
"EPI_ISL_490089","Selangor"
"EPI_ISL_490090","Selangor"
"EPI_ISL_490091","Selangor"
"EPI_ISL_490092","Selangor"
"EPI_ISL_490093","Selangor"
"EPI_ISL_490094","Selangor"
"EPI_ISL_490095","Selangor"
"EPI_ISL_490096","Selangor"
"EPI_ISL_490097","Selangor"
"EPI_ISL_490098","Selangor"
"EPI_ISL_490099","Selangor"
"EPI_ISL_490100","Selangor"
"EPI_ISL_490101","Selangor"
"EPI_ISL_490102","Selangor"
"EPI_ISL_490103","Selangor"
"EPI_ISL_596449","Selangor"
"EPI_ISL_644671","Selangor"
"EPI_ISL_644672","Selangor"
"EPI_ISL_718267","Selangor"
"EPI_ISL_718268","Selangor"
"EPI_ISL_718269","Selangor"
"EPI_ISL_718270","Selangor"
"EPI_ISL_718271","Selangor"
"EPI_ISL_718272","Selangor"
"EPI_ISL_718274","Selangor"
"EPI_ISL_718275","Selangor"
"EPI_ISL_718276","Selangor"
"EPI_ISL_718277","Selangor"
"EPI_ISL_718278","Selangor"
"EPI_ISL_718279","Selangor"
"EPI_ISL_718280","Selangor"
"EPI_ISL_718281","Selangor"
"EPI_ISL_718282","Selangor"
"EPI_ISL_718283","Selangor"
"EPI_ISL_718284","Selangor"
"EPI_ISL_718285","Selangor"
"EPI_ISL_718286","Selangor"
"EPI_ISL_718287","Selangor"
"EPI_ISL_718288","Selangor"
"EPI_ISL_718289","Selangor"
"EPI_ISL_718290","Selangor"
"EPI_ISL_718291","Selangor"
"EPI_ISL_718292","Selangor"
"EPI_ISL_718293","Selangor"
"EPI_ISL_718294","Selangor"
"EPI_ISL_718295","Selangor"
"EPI_ISL_718296","Selangor"
"EPI_ISL_718297","Selangor"
"EPI_ISL_718298","Selangor"
"EPI_ISL_718299","Selangor"
"EPI_ISL_718300","Selangor"
"EPI_ISL_718301","Selangor"
"EPI_ISL_718302","Selangor"
"EPI_ISL_718303","Selangor"
"EPI_ISL_718304","Selangor"
"EPI_ISL_718305","Selangor"
"EPI_ISL_718306","Selangor"
"EPI_ISL_718307","Selangor"
"EPI_ISL_718308","Selangor"
"EPI_ISL_718309","Selangor"
"EPI_ISL_718310","Selangor"
"EPI_ISL_718311","Selangor"
"EPI_ISL_718312","Selangor"
"EPI_ISL_718313","Selangor"
"EPI_ISL_718314","Selangor"
"EPI_ISL_718315","Selangor"
"EPI_ISL_728157","Selangor"
"EPI_ISL_728158","Selangor"
"EPI_ISL_728160","Selangor"
"EPI_ISL_728161","Selangor"
"EPI_ISL_728162","Selangor"
"EPI_ISL_728163","Selangor"
"EPI_ISL_728164","Selangor"
"EPI_ISL_728165","Selangor"
"EPI_ISL_728166","Selangor"
"EPI_ISL_728167","Selangor"
"EPI_ISL_728169","Selangor"
"EPI_ISL_728170","Selangor"
"EPI_ISL_728178","Selangor"
"EPI_ISL_728209","Selangor"
"EPI_ISL_728210","Selangor"
"EPI_ISL_728211","Selangor"
"EPI_ISL_728212","Selangor"
"EPI_ISL_728241","Selangor"
"EPI_ISL_728242","Selangor"
"EPI_ISL_728243","Selangor"
"EPI_ISL_728244","Selangor"
"EPI_ISL_728245","Selangor"
"EPI_ISL_728246","Selangor"
"EPI_ISL_728247","Selangor"
"EPI_ISL_728248","Selangor"
"EPI_ISL_728249","Selangor"
"EPI_ISL_728250","Selangor"
"EPI_ISL_728251","Selangor"
"EPI_ISL_728252","Selangor"
"EPI_ISL_728253","Selangor"
"EPI_ISL_877228","Selangor"
"EPI_ISL_877229","WP Kuala Lumpur"
"EPI_ISL_877230","WP Kuala Lumpur"
"EPI_ISL_877231","WP Kuala Lumpur"
"EPI_ISL_877232","WP Kuala Lumpur"
"EPI_ISL_877233","WP Kuala Lumpur"
"EPI_ISL_877234","WP Kuala Lumpur"
"EPI_ISL_877235","WP Kuala Lumpur"
"EPI_ISL_877236","WP Kuala Lumpur"
"EPI_ISL_877329","WP Kuala Lumpur"
"EPI_ISL_877330","WP Kuala Lumpur"
"EPI_ISL_912397","Selangor"
"EPI_ISL_912399","Selangor"
"EPI_ISL_912400","Selangor"
"EPI_ISL_934424","Selangor"
"EPI_ISL_936488","Sabah"
"EPI_ISL_936489","Kelantan"
"EPI_ISL_936490","Kelantan"
"EPI_ISL_936491","Selangor"
"EPI_ISL_936494","Johor"
"EPI_ISL_936495","Sarawak"
"EPI_ISL_936496","Selangor"
"EPI_ISL_944094","Selangor"
"EPI_ISL_944095","Selangor"
"EPI_ISL_944096","Selangor"
"EPI_ISL_944099","Selangor"
"EPI_ISL_944100","Selangor"
"EPI_ISL_944101","Selangor"
"EPI_ISL_944102","Selangor"
"EPI_ISL_944103","Selangor"
"EPI_ISL_944104","Selangor"
"EPI_ISL_962203","Selangor"
"EPI_ISL_962204","Selangor"
"EPI_ISL_962205","Selangor"
"EPI_ISL_962206","Selangor"
"EPI_ISL_962207","Selangor"
"EPI_ISL_962523","Selangor"
"EPI_ISL_962524","Selangor"
"EPI_ISL_962525","Selangor"
"EPI_ISL_962526","Selangor"
"EPI_ISL_962527","Selangor"
"EPI_ISL_968089","Selangor"
"EPI_ISL_1059900","Selangor"
"EPI_ISL_1059901","Selangor"
"EPI_ISL_1059902","Negeri Sembilan"
"EPI_ISL_1435783","WP Kuala Lumpur"
"EPI_ISL_1435785","Selangor"
"EPI_ISL_1435787","Selangor"
"EPI_ISL_1435789","Selangor"
"EPI_ISL_1435791","Selangor"
"EPI_ISL_1435792","Selangor"
"EPI_ISL_1435794","Negeri Sembilan"
"EPI_ISL_1435796","Selangor"
"EPI_ISL_1435798","Negeri Sembilan"
"EPI_ISL_1435800","Negeri Sembilan"
"EPI_ISL_1435802","Selangor"
"EPI_ISL_1435804","Selangor"
"EPI_ISL_1435806","Selangor"
"EPI_ISL_1435808","Selangor"
"EPI_ISL_1435810","Selangor"
"EPI_ISL_1435812","Selangor"
"EPI_ISL_1435814","Selangor"
"EPI_ISL_1435816","Selangor"
"EPI_ISL_1435817","Selangor"
"EPI_ISL_1435820","Selangor"
"EPI_ISL_416829","Selangor"
"EPI_ISL_416866","Selangor"
"EPI_ISL_416884","Selangor"
"EPI_ISL_416885","Selangor"
"EPI_ISL_416886","Selangor"
"EPI_ISL_416907","Selangor"
"EPI_ISL_455790","Selangor"
"EPI_ISL_455791","Selangor"
"EPI_ISL_455792","Selangor"
"EPI_ISL_455793","Selangor"
"EPI_ISL_528738","Selangor"
"EPI_ISL_528739","Selangor"
"EPI_ISL_528740","Selangor"
"EPI_ISL_528741","Selangor"
"EPI_ISL_528742","Selangor"
"EPI_ISL_528743","Selangor"
"EPI_ISL_528744","Selangor"
"EPI_ISL_568873","Selangor"
"EPI_ISL_568874","Selangor"
"EPI_ISL_568875","Selangor"
"EPI_ISL_582124","Selangor"
"EPI_ISL_861717","Sabah"
"EPI_ISL_861718","Negeri Sembilan"
"EPI_ISL_861719","Negeri Sembilan"
"EPI_ISL_861720","Negeri Sembilan"
"EPI_ISL_861721","Selangor"
"EPI_ISL_861722","Selangor"
"EPI_ISL_861723","Selangor"
"EPI_ISL_861724","Negeri Sembilan"
"EPI_ISL_861725","Negeri Sembilan"
"EPI_ISL_861726","Negeri Sembilan"
"EPI_ISL_861729","Sabah"
"EPI_ISL_977585","Selangor"
"EPI_ISL_977586","Selangor"
"EPI_ISL_977587","Selangor"
"EPI_ISL_977588","Negeri Sembilan"
"EPI_ISL_977589","Selangor"
"EPI_ISL_977590","Selangor"
"EPI_ISL_977591","Negeri Sembilan"
"EPI_ISL_977592","Negeri Sembilan"
"EPI_ISL_977593","Negeri Sembilan"
"EPI_ISL_807150","Selangor"
"EPI_ISL_807151","Selangor"
