"Virus name","Accession ID","Collection date","Sequencing technology","Assembly method"
"hCoV-19/Malaysia/0005/2021","EPI_ISL_4056088","2021-07-26","Nanopore MinION","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0036/2021","EPI_ISL_3246346","2021-05-08","Nanopore MinION","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0057/2021","EPI_ISL_4056089","2021-07-26","Nanopore MinION","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0063/2021","EPI_ISL_4056149","2021-07-26","Nanopore MinION","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0112/2021","EPI_ISL_4056090","2021-07-26","Nanopore MinION","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0121/2020","EPI_ISL_501176","2020-03-21","Illumina iSeq","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0137/2021","EPI_ISL_4056150","2021-07-26","Nanopore MinION","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0226/2021","EPI_ISL_4056092","2021-07-05","Nanopore MinION","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0309/2020","EPI_ISL_501177","2020-03-22","Illumina iSeq","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0350/2020","EPI_ISL_2769381","2020-10-03","Illumina iSeq","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0468/2020","EPI_ISL_2769398","2020-11-20","Illumina iSeq","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0478/2020","EPI_ISL_501178","2020-03-23","Illumina iSeq","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0491/2021","EPI_ISL_4056176","2021-07-06","Nanopore MinION","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0492/2021","EPI_ISL_3246349","2021-05-10","Nanopore MinION","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0548/2021","EPI_ISL_4056093","2021-07-06","Nanopore MinION","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0581/2020","EPI_ISL_2769387","2020-10-20","Illumina iSeq","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0610/2021","EPI_ISL_4056094","2021-07-06","Nanopore MinION","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0783/2020","EPI_ISL_2769388","2020-10-20","Illumina iSeq","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0784/2020","EPI_ISL_501179","2020-03-23","Illumina iSeq","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0931/2020","EPI_ISL_501180","2020-03-23","Illumina iSeq","Geneious Prime 2020.1"
"hCoV-19/Malaysia/0956/2020","EPI_ISL_501181","2020-03-04","Illumina iSeq","Geneious Prime 2020.1"
"hCoV-19/Malaysia/1082/2021","EPI_ISL_3246360","2021-03-21","Nanopore MinION","Geneious Prime 2020.1"
"hCoV-19/Malaysia/1103/2021","EPI_ISL_4056151","2021-07-28","Nanopore MinION","Geneious Prime 2020.1"
"hCoV-19/Malaysia/1121/2020","EPI_ISL_501182","2020-03-24","Illumina iSeq","Geneious Prime 2020.1"
"hCoV-19/Malaysia/1130/2021","EPI_ISL_4056171","2021-07-28","Nanopore MinION","Geneious Prime 2020.1"
"hCoV-19/Malaysia/1204/2020","EPI_ISL_501183","2020-03-24","Illumina iSeq","Geneious Prime 2020.1"
"hCoV-19/Malaysia/1276/2020","EPI_ISL_2769402","2020-12-08","Illumina iSeq","Geneious Prime 2020.1"
"hCoV-19/Malaysia/1290/2021","EPI_ISL_4056152","2021-07-07","Nanopore MinION","Geneious Prime 2020.1"
"hCoV-19/Malaysia/1349/2020","EPI_ISL_2769401","2020-12-08","Illumina iSeq","Geneious Prime 2020.1"
"hCoV-19/Malaysia/1399/2020","EPI_ISL_501184","2020-03-25","Illumina iSeq","Geneious Prime 2020.1"
"hCoV-19/Malaysia/1414/2021","EPI_ISL_3246350","2021-04-05","Nanopore MinION","Geneious Prime 2020.1"
