"SeqName","AccID","Collectiondate","Clade","qc.overallScore","qc.overallStatus","OriginLab","SubmittingLab"
"hCoV-19/Malaysia/IMR_WC91520/2021","EPI_ISL_1055037","2021-02-11","20A","11.111111","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC91545/2021","EPI_ISL_1055261","2021-02-11","20A","39.0625","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC91743/2021","EPI_ISL_1055262","2021-02-12","20A","6.25","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC33879/2021","EPI_ISL_1055263","2021-01-13","20A","101.5625","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC91662/2021","EPI_ISL_1055264","2021-02-11","20A","225.694444","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC91650/2021","EPI_ISL_1055361","2021-02-12","20A","116.840278","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC91649/2021","EPI_ISL_1055362","2021-02-11","20A","161.111111","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC66770/2021","EPI_ISL_1055363","2021-01-25","20A","225.694444","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC66769/2021","EPI_ISL_1055364","2021-01-25","20A","44.444444","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC61833/2021","EPI_ISL_1055365","2021-01-25","20A","21.006944","good","IMR","IMR"
"hCoV-19/Malaysia/MGI-MGI43/2021","EPI_ISL_1059900","2021-01-05","20A","0","good","MGVI","MGVI"
"hCoV-19/Malaysia/MGI-MGI52/2021","EPI_ISL_1059901","2021-01-07","20A","0.173611","good","MGVI","MGVI"
"hCoV-19/Malaysia/MGI-DNALAB13/2020","EPI_ISL_1059902","2020-11-04","20A","0","good","DNALAB Sdn Bhd","MGVI"
"hCoV-19/Malaysia/IMR_WC46473/2021","EPI_ISL_1068849","2021-01-18","20A","56.25","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC608240/2021","EPI_ISL_1068850","2021-01-23","20A","171.006944","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC61226/2021","EPI_ISL_1068851","2021-01-24","20A","171.006944","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC37124/2021","EPI_ISL_1068927","2021-01-15","20A","191.840278","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC37139/2021","EPI_ISL_1068928","2021-01-15","20A","94.444444","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC65476/2021","EPI_ISL_1068929","2021-01-26","20A","237.673611","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_UCSI_SM12115/2021","EPI_ISL_1068996","2021-01-23","20A","406.25","bad","UCSI","IMR"
"hCoV-19/Malaysia/IMR_UCSI_SM11740/2021","EPI_ISL_1068997","2021-01-22","20A","25","good","UCSI","IMR"
"hCoV-19/Malaysia/IMR_UCSI_SM12112/2021","EPI_ISL_1068998","2021-01-23","20A","25","good","UCSI","IMR"
"hCoV-19/Malaysia/IMR_UCSI_SM11057/2021","EPI_ISL_1068999","2021-01-21","20A","44.444444","mediocre","UCSI","IMR"
"hCoV-19/Malaysia/IMR_UCSI_SM11158/2021","EPI_ISL_1069076","2021-01-21","20A","225.694444","bad","UCSI","IMR"
"hCoV-19/Malaysia/IMR_UCSI_Y851/2021","EPI_ISL_1069078","2021-01-21","20A","133.506944","bad","UCSI","IMR"
"hCoV-19/Malaysia/IMR_WC64066/2021","EPI_ISL_1081327","2021-01-26","20A","191.840278","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC38966/2021","EPI_ISL_1081333","2021-01-14","20A","151.5625","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC65760/2021","EPI_ISL_1081350","2021-02-26","20A","150.694444","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC65762/2021","EPI_ISL_1081351","2021-01-26","20A","225.694444","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC65766/2021","EPI_ISL_1081352","2021-01-26","20A","67.361111","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC74127/2021","EPI_ISL_1114717","2021-01-31","20A","6.25","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC73927/2021","EPI_ISL_1114718","2021-01-31","20A","25","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC73724/2021","EPI_ISL_1114719","2021-01-31","20A","34.027778","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC73705/2021","EPI_ISL_1114720","2021-01-31","20A","14.0625","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC73696/2021","EPI_ISL_1114721","2021-01-31","20A","2.777778","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC66247/2021","EPI_ISL_1114722","2021-01-26","20A","4.340278","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC66243/2021","EPI_ISL_1114723","2021-01-26","20A","59.027778","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC66074/2021","EPI_ISL_1114724","2021-01-26","20A","6.25","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC299920/2020","EPI_ISL_1114726","2020-11-27","20B","11.111111","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC317894/2020","EPI_ISL_1114734","2020-12-07","20B","25","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC340711/2020","EPI_ISL_1114744","2020-12-12","20D","94.444444","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC357849/2020","EPI_ISL_1114765","2020-12-19","20A","236.111111","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC74211/2021","EPI_ISL_1138598","2021-01-31","21D (Eta)","11.111111","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC74210/2021","EPI_ISL_1138750","2021-01-31","21D (Eta)","6.25","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_0088/2021","EPI_ISL_1186028","2021-01-10","20A","0","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_323379/2021","EPI_ISL_1186114","2021-02-11","20A","75.173611","mediocre","Hospital Queen Elizabeth","IMR"
"hCoV-19/Malaysia/IMR_19888925/2021","EPI_ISL_1196660","2021-01-08","20A","181.25","bad","Hospital Melaka","IMR"
"hCoV-19/Malaysia/IMR_19888903/2021","EPI_ISL_1196705","2021-01-07","20A","44.444444","mediocre","Hospital Melaka","IMR"
"hCoV-19/Malaysia/IMR_19888914/2021","EPI_ISL_1196706","2021-01-08","20A","21.006944","good","Hospital Melaka","IMR"
"hCoV-19/Malaysia/IMR_19889110/2021","EPI_ISL_1196768","2021-01-10","20A","44.444444","mediocre","Hospital Melaka","IMR"
"hCoV-19/Malaysia/IMR_19888864/2021","EPI_ISL_1196770","2021-01-09","20A","171.006944","bad","Hospital Melaka","IMR"
"hCoV-19/Malaysia/IMR_19886423/2021","EPI_ISL_1196771","2021-01-17","20A","21.006944","good","Hospital Melaka","IMR"
"hCoV-19/Malaysia/IMR_WI016/2020","EPI_ISL_1196794","2020-12-29","20A","173.090278","bad","Hospital Pulau Pinang","IMR"
"hCoV-19/Malaysia/IMR_WI019/2021","EPI_ISL_1196796","2021-01-03","20A","173.090278","bad","Hospital Pulau Pinang","IMR"
"hCoV-19/Malaysia/IMR_WI021/2021","EPI_ISL_1196797","2021-01-04","20A","29.340278","good","Hospital Pulau Pinang","IMR"
"hCoV-19/Malaysia/IMR_040265/2021","EPI_ISL_1196864","2021-01-15","20A","8.506944","good","Hospital Alor Gajah","IMR"
"hCoV-19/Malaysia/IMR_WC77905/2021","EPI_ISL_1196866","2021-02-02","20A","11.111111","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC75699/2021","EPI_ISL_1196867","2021-02-01","20A","21.006944","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC136734/2020","EPI_ISL_1196930","2020-04-06","19A","0.694444","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WPM005/2021","EPI_ISL_1204503","2021-01-07","20A","214.0625","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC106014/2021","EPI_ISL_1263458","2021-02-28","20H (Beta, V2)","0.694444","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC86762/2021","EPI_ISL_1263460","2021-02-08","20I (Alpha, V1)","109.027778","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC75452/2021","EPI_ISL_1263540","2021-02-01","20H (Beta, V2)","0","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC108032/2021","EPI_ISL_1264762","2021-02-27","20H (Beta, V2)","14.0625","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC75493/2021","EPI_ISL_1265161","2021-02-02","20H (Beta, V2)","31.25","mediocre","IMR","IMR"
"hCoV-19/Malaysia/UNIMAS-B114/2021","EPI_ISL_1318203","2021-01-13","20A","0","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-B112/2021","EPI_ISL_1318204","2021-01-13","20A","0","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-B110/2021","EPI_ISL_1318205","2021-01-12","20A","0","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-15936/2021","EPI_ISL_1318206","2021-01-18","20A","14.0625","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-16331/2021","EPI_ISL_1318207","2021-02-20","20A","11.111111","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-B113/2021","EPI_ISL_1318208","2021-01-13","20A","0","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-15915/2021","EPI_ISL_1318209","2021-01-12","20A","11.111111","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-15933/2021","EPI_ISL_1318210","2021-01-20","20A","0","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-15888/2021","EPI_ISL_1318211","2021-01-10","20A","1.5625","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-15877/2021","EPI_ISL_1318212","2021-01-10","20A","4.340278","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-16299/2021","EPI_ISL_1318213","2021-02-18","20A","8.506944","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-16061/2021","EPI_ISL_1318214","2021-01-29","20A","0","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-16282/2021","EPI_ISL_1318215","2021-02-17","20A","8.506944","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-CRC0379/2021","EPI_ISL_1318216","2021-01-18","20A","0","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-CRC0439/2021","EPI_ISL_1318217","2021-01-18","20A","0","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-CRC0441/2021","EPI_ISL_1318218","2021-01-18","20A","0","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-CRC0445/2021","EPI_ISL_1318219","2021-01-18","20A","0","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-15935/2021","EPI_ISL_1334365","2021-01-17","20A","0","good","Ministry of Health Hospital","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-B080/2020","EPI_ISL_1363119","2020-12-16","20A","59.027778","mediocre","Borneo Medical Centre","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-B081/2020","EPI_ISL_1363120","2020-12-16","20A","59.027778","mediocre","Borneo Medical Centre","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-B082/2020","EPI_ISL_1363121","2020-12-16","20A","59.027778","mediocre","Borneo Medical Centre","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-B084/2020","EPI_ISL_1363122","2020-12-15","20A","59.027778","mediocre","Borneo Medical Centre","UNIMAS"
"hCoV-19/Malaysia/UNIMAS-B085/2020","EPI_ISL_1363123","2020-12-15","20A","59.027778","mediocre","Borneo Medical Centre","UNIMAS"
"hCoV-19/Malaysia/IMR_320957/2021","EPI_ISL_1405917","2021-02-02","20A","44.444444","mediocre","Hospital Queen Elizabeth","IMR"
"hCoV-19/Malaysia/IMR_WC107223/2021","EPI_ISL_1405966","2021-02-26","20A","151.5625","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC100363/2021","EPI_ISL_1406078","2021-02-20","20A","17.361111","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC100371/2021","EPI_ISL_1406146","2021-02-20","20A","14.0625","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC102872/2021","EPI_ISL_1406148","2021-02-23","20A","94.444444","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC93839/2021","EPI_ISL_1406153","2021-02-15","20A","133.506944","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC107610/2021","EPI_ISL_1406178","2021-02-27","20A","225.694444","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC100111/2021","EPI_ISL_1406185","2021-02-20","20A","36.111111","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC101122/2021","EPI_ISL_1406187","2021-02-20","20A","2.777778","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC105668/2021","EPI_ISL_1406192","2021-02-25","20A","21.006944","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC102543/2021","EPI_ISL_1406194","2021-02-23","20A","0","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC107580/2021","EPI_ISL_1406197","2021-02-27","20A","171.006944","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC105713/2021","EPI_ISL_1406199","2021-02-25","20A","11.111111","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC107337/2021","EPI_ISL_1406201","2021-02-26","20A","262.673611","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC107357/2021","EPI_ISL_1406204","2021-02-26","20A","25","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC104487/2021","EPI_ISL_1406242","2021-02-25","20A","25","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC105194/2021","EPI_ISL_1406244","2021-02-25","20A","21.006944","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC106320/2021","EPI_ISL_1406247","2021-02-26","20A","34.027778","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC106331/2021","EPI_ISL_1406250","2021-02-26","20A","25","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC105307/2021","EPI_ISL_1406274","2021-02-25","20A","39.0625","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC106795/2021","EPI_ISL_1406277","2021-02-26","20A","14.0625","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC103989/2021","EPI_ISL_1406281","2021-02-24","20A","17.361111","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC106956/2021","EPI_ISL_1406286","2021-02-26","20A","44.444444","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC104486/2021","EPI_ISL_1406292","2021-02-24","20A","202.777778","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC107542/2021","EPI_ISL_1406294","2021-02-27","20A","142.361111","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC104969/2021","EPI_ISL_1406295","2021-02-25","20A","237.5","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WPM015/2021","EPI_ISL_1424064","2021-01-27","20A","56.944444","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WPM006/2021","EPI_ISL_1424065","2021-01-11","20A","0","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC105934/2021","EPI_ISL_1424130","2021-02-25","20H (Beta, V2)","75.173611","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC107101/2021","EPI_ISL_1424143","2021-02-26","20H (Beta, V2)","109.027778","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC107215/2021","EPI_ISL_1424466","2021-02-26","20H (Beta, V2)","2.777778","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC114583/2021","EPI_ISL_1424467","2021-03-02","20A","69.444444","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC113107/2021","EPI_ISL_1424468","2021-03-01","20A","2.777778","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC112952/2021","EPI_ISL_1424470","2021-03-01","20A","171.006944","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC112765/2021","EPI_ISL_1424471","2021-03-01","20H (Beta, V2)","64.0625","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC112572/2021","EPI_ISL_1424510","2021-03-03","20A","0.694444","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC118251/2021","EPI_ISL_1424513","2021-03-06","19B","101.5625","bad","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC75495/2021","EPI_ISL_1424518","2021-03-14","20H (Beta, V2)","39.0625","mediocre","IMR","IMR"
"hCoV-19/Malaysia/MGI-DNALAB1/2020","EPI_ISL_1435783","2020-10-27","20A","0","good","DNALAB Sdn Bhd","MGVI"
"hCoV-19/Malaysia/MGI-DNALAB3/2020","EPI_ISL_1435785","2020-10-27","20A","0","good","DNALAB Sdn Bhd","MGVI"
"hCoV-19/Malaysia/MGI-DNALAB5/2020","EPI_ISL_1435787","2020-10-30","20A","2.777778","good","DNALAB Sdn Bhd","MGVI"
"hCoV-19/Malaysia/MGI-DNALAB7/2020","EPI_ISL_1435789","2020-10-30","20A","4.340278","good","DNALAB Sdn Bhd","MGVI"
"hCoV-19/Malaysia/MGI-DNALAB8/2020","EPI_ISL_1435791","2020-10-30","20A","2.777778","good","DNALAB Sdn Bhd","MGVI"
"hCoV-19/Malaysia/MGI-DNALAB9/2020","EPI_ISL_1435792","2020-10-30","20A","2.777778","good","DNALAB Sdn Bhd","MGVI"
"hCoV-19/Malaysia/MGI-DNALAB11/2020","EPI_ISL_1435794","2020-11-02","20A","0","good","DNALAB Sdn Bhd","MGVI"
"hCoV-19/Malaysia/MGI-DNALAB12/2020","EPI_ISL_1435796","2020-10-27","20C","0.173611","good","DNALAB Sdn Bhd","MGVI"
"hCoV-19/Malaysia/MGI-DNALAB15/2020","EPI_ISL_1435798","2020-11-04","20A","0","good","DNALAB Sdn Bhd","MGVI"
"hCoV-19/Malaysia/MGI-DNALAB16/2020","EPI_ISL_1435800","2020-11-06","20A","2.777778","good","DNALAB Sdn Bhd","MGVI"
"hCoV-19/Malaysia/MGI-MGI46/2021","EPI_ISL_1435802","2021-01-07","20A","0","good","MGVI","MGVI"
"hCoV-19/Malaysia/MGI-MGI47/2021","EPI_ISL_1435804","2021-01-07","20A","0","good","MGVI","MGVI"
"hCoV-19/Malaysia/MGI-MGI48/2021","EPI_ISL_1435806","2021-01-07","20A","0","good","MGVI","MGVI"
"hCoV-19/Malaysia/MGI-MGI49/2021","EPI_ISL_1435808","2021-01-07","20A","0","good","MGVI","MGVI"
"hCoV-19/Malaysia/MGI-MGI50/2021","EPI_ISL_1435810","2021-01-07","20A","0","good","MGVI","MGVI"
"hCoV-19/Malaysia/MGI-MGI51/2021","EPI_ISL_1435812","2021-01-07","20A","0","good","MGVI","MGVI"
"hCoV-19/Malaysia/MGI-MGI53/2021","EPI_ISL_1435814","2021-01-07","20A","0.173611","good","MGVI","MGVI"
"hCoV-19/Malaysia/MGI-MGI54/2021","EPI_ISL_1435816","2021-01-07","20A","0","good","MGVI","MGVI"
"hCoV-19/Malaysia/MGI-MGI55/2021","EPI_ISL_1435817","2021-01-07","20A","0","good","MGVI","MGVI"
"hCoV-19/Malaysia/MGI-MGI56/2021","EPI_ISL_1435820","2021-01-07","20A","0","good","MGVI","MGVI"
"hCoV-19/Malaysia/IMR_WC170283/2021","EPI_ISL_1583006","2021-04-04","20I (Alpha, V1)","57.8125","mediocre","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC170284/2021","EPI_ISL_1583007","2021-04-04","20I (Alpha, V1)","4.340278","good","IMR","IMR"
"hCoV-19/Malaysia/IMR_WC170624/2021","EPI_ISL_1585242","2021-04-04","20A","207.8125","bad","IMR","IMR"
