AccID	clade	qc.overallStatus
EPI_ISL_1055037	20A	good
EPI_ISL_1055261	20A	mediocre
EPI_ISL_1055262	20A	good
EPI_ISL_1055263	20A	bad
EPI_ISL_1055264	20A	bad
EPI_ISL_1055361	20A	bad
EPI_ISL_1055362	20A	bad
EPI_ISL_1055363	20A	bad
EPI_ISL_1055364	20A	mediocre
EPI_ISL_1055365	20A	good
EPI_ISL_1059900	20A	good
EPI_ISL_1059901	20A	good
EPI_ISL_1059902	20A	good
EPI_ISL_1068849	20A	mediocre
EPI_ISL_1068850	20A	bad
EPI_ISL_1068851	20A	bad
EPI_ISL_1068927	20A	bad
EPI_ISL_1068928	20A	mediocre
EPI_ISL_1068929	20A	bad
EPI_ISL_1068996	20A	bad
EPI_ISL_1068997	20A	good
EPI_ISL_1068998	20A	good
EPI_ISL_1068999	20A	mediocre
EPI_ISL_1069076	20A	bad
EPI_ISL_1069078	20A	bad
EPI_ISL_1081327	20A	bad
EPI_ISL_1081333	20A	bad
EPI_ISL_1081350	20A	bad
EPI_ISL_1081351	20A	bad
EPI_ISL_1081352	20A	mediocre
EPI_ISL_1114717	20A	good
EPI_ISL_1114718	20A	good
EPI_ISL_1114719	20A	mediocre
EPI_ISL_1114720	20A	good
EPI_ISL_1114721	20A	good
EPI_ISL_1114722	20A	good
EPI_ISL_1114723	20A	mediocre
EPI_ISL_1114724	20A	good
EPI_ISL_1114726	20B	good
EPI_ISL_1114734	20B	good
EPI_ISL_1114744	20D	mediocre
EPI_ISL_1114765	20A	bad
EPI_ISL_1138598	21D (Eta)	good
EPI_ISL_1138750	21D (Eta)	good
EPI_ISL_1186028	20A	good
EPI_ISL_1186114	20A	mediocre
EPI_ISL_1196660	20A	bad
EPI_ISL_1196705	20A	mediocre
EPI_ISL_1196706	20A	good
EPI_ISL_1196768	20A	mediocre
EPI_ISL_1196770	20A	bad
EPI_ISL_1196771	20A	good
EPI_ISL_1196794	20A	bad
EPI_ISL_1196796	20A	bad
EPI_ISL_1196797	20A	good
EPI_ISL_1196864	20A	good
EPI_ISL_1196866	20A	good
EPI_ISL_1196867	20A	good
EPI_ISL_1196930	19A	good
EPI_ISL_1204503	20A	bad
EPI_ISL_1263458	20H (Beta, V2)	good
EPI_ISL_1263460	20I (Alpha, V1)	bad
EPI_ISL_1263540	20H (Beta, V2)	good
EPI_ISL_1264762	20H (Beta, V2)	good
EPI_ISL_1265161	20H (Beta, V2)	mediocre
EPI_ISL_1318203	20A	good
EPI_ISL_1318204	20A	good
EPI_ISL_1318205	20A	good
EPI_ISL_1318206	20A	good
EPI_ISL_1318207	20A	good
EPI_ISL_1318208	20A	good
EPI_ISL_1318209	20A	good
EPI_ISL_1318210	20A	good
EPI_ISL_1318211	20A	good
EPI_ISL_1318212	20A	good
EPI_ISL_1318213	20A	good
EPI_ISL_1318214	20A	good
EPI_ISL_1318215	20A	good
EPI_ISL_1318216	20A	good
EPI_ISL_1318217	20A	good
EPI_ISL_1318218	20A	good
EPI_ISL_1318219	20A	good
EPI_ISL_1334365	20A	good
EPI_ISL_1363119	20A	mediocre
EPI_ISL_1363120	20A	mediocre
EPI_ISL_1363121	20A	mediocre
EPI_ISL_1363122	20A	mediocre
EPI_ISL_1363123	20A	mediocre
EPI_ISL_1405917	20A	mediocre
EPI_ISL_1405966	20A	bad
EPI_ISL_1406078	20A	good
EPI_ISL_1406146	20A	good
EPI_ISL_1406148	20A	mediocre
EPI_ISL_1406153	20A	bad
EPI_ISL_1406178	20A	bad
EPI_ISL_1406185	20A	mediocre
EPI_ISL_1406187	20A	good
EPI_ISL_1406192	20A	good
EPI_ISL_1406194	20A	good
EPI_ISL_1406197	20A	bad
EPI_ISL_1406199	20A	good
EPI_ISL_1406201	20A	bad
EPI_ISL_1406204	20A	good
EPI_ISL_1406242	20A	good
EPI_ISL_1406244	20A	good
EPI_ISL_1406247	20A	mediocre
EPI_ISL_1406250	20A	good
EPI_ISL_1406274	20A	mediocre
EPI_ISL_1406277	20A	good
EPI_ISL_1406281	20A	good
EPI_ISL_1406286	20A	mediocre
EPI_ISL_1406292	20A	bad
EPI_ISL_1406294	20A	bad
EPI_ISL_1406295	20A	bad
EPI_ISL_1424064	20A	mediocre
EPI_ISL_1424065	20A	good
EPI_ISL_1424130	20H (Beta, V2)	mediocre
EPI_ISL_1424143	20H (Beta, V2)	bad
EPI_ISL_1424466	20H (Beta, V2)	good
EPI_ISL_1424467	20A	mediocre
EPI_ISL_1424468	20A	good
EPI_ISL_1424470	20A	bad
EPI_ISL_1424471	20H (Beta, V2)	mediocre
EPI_ISL_1424510	20A	good
EPI_ISL_1424513	19B	bad
EPI_ISL_1424518	20H (Beta, V2)	mediocre
EPI_ISL_1435783	20A	good
EPI_ISL_1435785	20A	good
EPI_ISL_1435787	20A	good
EPI_ISL_1435789	20A	good
EPI_ISL_1435791	20A	good
EPI_ISL_1435792	20A	good
EPI_ISL_1435794	20A	good
EPI_ISL_1435796	20C	good
EPI_ISL_1435798	20A	good
EPI_ISL_1435800	20A	good
EPI_ISL_1435802	20A	good
EPI_ISL_1435804	20A	good
EPI_ISL_1435806	20A	good
EPI_ISL_1435808	20A	good
EPI_ISL_1435810	20A	good
EPI_ISL_1435812	20A	good
EPI_ISL_1435814	20A	good
EPI_ISL_1435816	20A	good
EPI_ISL_1435817	20A	good
EPI_ISL_1435820	20A	good
EPI_ISL_1583006	20I (Alpha, V1)	mediocre
EPI_ISL_1583007	20I (Alpha, V1)	good
EPI_ISL_1585242	20A	bad
EPI_ISL_1585270	20A	mediocre
EPI_ISL_1585271	20A	mediocre
EPI_ISL_1672633	20H (Beta, V2)	good
EPI_ISL_1673257	20A	good
EPI_ISL_1673280	20A	bad
EPI_ISL_1673283	20A	good
EPI_ISL_1673284	20A	bad
EPI_ISL_1673287	20A	good
EPI_ISL_1673288	20A	good
EPI_ISL_1673293	20A	mediocre
EPI_ISL_1673296	20A	good
EPI_ISL_1673299	20A	mediocre
EPI_ISL_1673304	20A	good
EPI_ISL_1673307	20A	good
EPI_ISL_1673309	20A	good
EPI_ISL_1673332	20H (Beta, V2)	good
EPI_ISL_1673336	20A	good
EPI_ISL_1673337	20A	bad
EPI_ISL_1673338	20A	bad
EPI_ISL_1673340	20A	bad
EPI_ISL_1673341	20H (Beta, V2)	good
EPI_ISL_1673342	20A	mediocre
EPI_ISL_1673344	20H (Beta, V2)	good
EPI_ISL_1673345	20A	mediocre
EPI_ISL_1673420	20A	good
EPI_ISL_1673683	20A	good
EPI_ISL_1673735	20A	bad
EPI_ISL_1696746	20H (Beta, V2)	good
