"AccessionID","State","OriginLab","SubmittingLab"
"EPI_ISL_416885","Selangor","MKAK","MGVI"
"EPI_ISL_416886","Selangor","MKAK","MGVI"
"EPI_ISL_455790","Selangor","IMR","MGVI"
"EPI_ISL_1424513","Selangor","IMR","IMR"
"EPI_ISL_1973325","Sarawak","Hospital Bintulu","IMR"
"EPI_ISL_2608391","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608393","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608396","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608400","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608402","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608404","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608412","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_2614741","Sarawak","Hospital Miri","IMR"
"EPI_ISL_2608374","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2608375","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2608376","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2608378","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2608380","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608381","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608383","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608384","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608385","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608386","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608387","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608388","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608389","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608392","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608394","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608395","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608397","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608398","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608399","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608401","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608403","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608405","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2608406","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_2608408","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_2608409","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_2608410","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_2608411","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_2608413","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_2608414","Sarawak","Sarawak General Hospital","UNIMAS"
"EPI_ISL_1318208","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_1318218","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_1318203","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_1318204","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_1318214","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_1318216","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535603","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535604","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535607","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535614","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535618","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535630","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535631","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535632","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535634","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535637","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535642","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535648","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535653","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535655","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535658","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535659","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535660","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535661","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535670","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535672","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535673","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535674","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535675","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535678","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535685","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535686","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535688","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535692","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535693","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535694","Sarawak","Ministry of Health Hospital","UNIMAS"
"EPI_ISL_2535695","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535696","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535697","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535698","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535699","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535700","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535701","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535702","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535704","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535705","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535706","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535707","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535709","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535710","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535711","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535712","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535714","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535715","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535716","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535717","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535718","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535720","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535721","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535722","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535725","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535726","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535727","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535728","Sarawak","Hospital Sibu","UNIMAS"
"EPI_ISL_2535734","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535738","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535739","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535740","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535741","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535742","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535745","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535750","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535753","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535754","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535757","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535758","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535759","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535760","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535761","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535764","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535765","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535769","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2535770","Sarawak","Borneo Medical Centre","UNIMAS"
"EPI_ISL_2367559","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379894","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379895","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379896","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379897","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379898","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379899","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379900","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379901","Sarawak","UNIMAS","UNIMAS"
"EPI_ISL_2379902","Sarawak","UNIMAS","UNIMAS"
